name,date
A/Frederico_Westphalen/LACENRS_2130/2012|2012-07-26,2012.56557
A/Singapore/S2010.614/2010|2010-08-12,2010.61096
A/Peru/PER110/2010|2010-12-14,2010.95068
A/Peru/PER038/2010|2010-10-11,2010.77534
A/Peru/PER398/2010|2010-10-11,2010.77534
A/Peru/PER225/2010|2010-10-27,2010.81918
A/Peru/PER302/2011|2011-05-30,2011.40822
A/Peru/PER103/2010|2010-11-19,2010.88219
A/Peru/PER032/2010|2010-10-28,2010.82192
A/Peru/PER250/2010|2010-11-04,2010.84110
A/Peru/PER011/2010|2010-11-13,2010.86575
A/Peru/PER119/2010|2010-11-12,2010.86301
A/Peru/PER180/2010|2010-11-04,2010.84110
A/Peru/PER241/2010|2010-11-06,2010.84658
A/Peru/PER367/2010|2010-11-16,2010.87397
A/Peru/PER332/2010|2010-11-08,2010.85205
A/Peru/PER214/2010|2010-11-04,2010.84110
A/Peru/PER170/2010|2010-11-04,2010.84110
A/Peru/PER164/2010|2010-11-12,2010.86301
A/Peru/PER109/2010|2010-11-10,2010.85753
A/Peru/PER009/2010|2010-10-26,2010.81644
A/Peru/PER094/2010|2010-10-15,2010.78630
A/Peru/PER125/2010|2010-10-26,2010.81644
A/Peru/PER127/2010|2010-11-08,2010.85205
A/Peru/PER131/2010|2010-11-10,2010.85753
A/Peru/PER138/2010|2010-11-10,2010.85753
A/Peru/PER202/2010|2010-11-08,2010.85205
A/Peru/PER212/2010|2010-11-02,2010.83562
A/Peru/PER230/2010|2010-10-26,2010.81644
A/Peru/PER278/2010|2010-11-04,2010.84110
A/Peru/PER340/2010|2010-11-03,2010.83836
A/Peru/PER382/2010|2010-10-26,2010.81644
A/Peru/PER387/2010|2010-11-05,2010.84384
A/Peru/PER360/2010|2010-10-21,2010.80274
A/Texas/24/2010|2010-12-31,2010.99726
A/Peru/PER114/2010|2010-11-16,2010.87397
A/Peru/PER140/2010|2010-11-13,2010.86575
A/Peru/PER143/2010|2010-10-21,2010.80274
A/Peru/PER254/2010|2010-11-08,2010.85205
A/Peru/PER267/2010|2010-11-08,2010.85205
A/Boston/DOA80/2011|2011-03-16,2011.20274
A/Boston/DOA78/2011|2011-03-14,2011.19726
A/Boston/DOA33/2011|2011-02-08,2011.10411
A/Boston/DOA68/2011|2011-03-01,2011.16164
A/Boston/DOA27/2011|2011-02-21,2011.13973
A/Boston/DOA38/2011|2011-02-12,2011.11507
A/Boston/DOA01/2011|2011-01-03,2011.00548
A/Boston/DOA05/2011|2011-01-11,2011.02740
A/Singapore/C2010.241/2010|2010-03-29,2010.23836
A/Singapore/C2010.663/2010|2010-08-30,2010.66027
A/Singapore/S2010.655b/2010|2010-08-27,2010.65205
A/Boston/DOA32/2011|2011-02-07,2011.10137
A/Boston/DOA74/2011|2011-03-09,2011.18356
A/Tennessee/F2065/2011|2011-03-02,2011.16438
A/Tennessee/F2065B/2011|2011-03-07,2011.17808
A/Singapore/S2011.090/2011|2011-02-02,2011.08767
A/Singapore/C2010.625/2010|2010-08-16,2010.62192
A/Singapore/C2010.721/2010|2010-09-20,2010.71781
A/Netherlands/009/2010|2010-04-21,2010.30137
A/Mexico_City/WRAIR3579N/2010|2010-12-09,2010.93699
A/Mexico_City/WRAIR3579T/2010|2010-12-09,2010.93699
A/Texas/NHRC0001/2011|2011-01-25,2011.06575
A/Boston/DOA57/2011|2011-02-23,2011.14521
A/Tennessee/F2031A/2011|2011-02-07,2011.10137
A/Peru/PER065/2010|2010-11-04,2010.84110
A/Boston/DOA15/2011|2011-01-18,2011.04658
A/Peru/PER010/2010|2010-11-02,2010.83562
A/Peru/PER272/2010|2010-10-16,2010.78904
A/Singapore/C2010.784b/2010|2010-10-13,2010.78082
A/Singapore/C2010.742/2010|2010-09-28,2010.73973
A/Singapore/C2010.803V/2010|2010-10-20,2010.80000
A/Peru/PER035/2010|2010-10-20,2010.80000
A/Peru/PER373/2010|2010-11-15,2010.87123
A/Texas/06/2011|2011-02-05,2011.09589
A/Bangkok/FLU_PMKA0967_CP3/2010|2010-10-26,2010.81644
A/California/NHRC0002/2011|2011-01-16,2011.04110
A/Tennessee/F2011/2011|2011-01-07,2011.01644
A/Tennessee/F2018/2011|2011-01-21,2011.05479
A/Tennessee/F2018A/2011|2011-01-24,2011.06301
A/Tennessee/F2019A/2011|2011-01-24,2011.06301
A/Peru/PER393/2010|2010-10-28,2010.82192
A/Peru/PER386/2010|2010-10-28,2010.82192
A/Peru/PER088/2010|2010-10-13,2010.78082
A/Peru/PER380/2010|2010-10-13,2010.78082
A/Peru/PER071/2010|2010-10-16,2010.78904
A/Peru/PER145/2010|2010-10-18,2010.79452
A/Peru/PER381/2010|2010-10-21,2010.80274
A/Peru/PER306/2010|2010-11-05,2010.84384
A/Peru/PER303/2010|2010-09-30,2010.74521
A/Peru/PER242/2010|2010-11-02,2010.83562
A/Peru/PER229/2010|2010-11-06,2010.84658
A/Peru/PER148/2010|2010-10-27,2010.81918
A/Peru/PER141/2010|2010-11-11,2010.86027
A/Peru/PER129/2010|2010-10-28,2010.82192
A/Peru/PER377/2010|2010-10-28,2010.82192
A/Peru/PER392/2010|2010-10-29,2010.82466
A/Peru/PER064/2010|2010-10-26,2010.81644
A/Peru/PER357/2010|2010-10-26,2010.81644
A/Peru/PER062/2010|2010-11-04,2010.84110
A/Peru/PER075/2010|2010-10-21,2010.80274
A/Peru/PER079/2010|2010-10-27,2010.81918
A/Peru/PER128/2010|2010-10-22,2010.80548
A/Peru/PER135/2010|2010-10-22,2010.80548
A/Peru/PER165/2010|2010-11-09,2010.85479
A/Peru/PER169/2010|2010-10-11,2010.77534
A/Peru/PER192/2010|2010-10-23,2010.80822
A/Peru/PER207/2010|2010-10-27,2010.81918
A/Peru/PER208/2010|2010-10-27,2010.81918
A/Peru/PER224/2010|2010-11-02,2010.83562
A/Peru/PER252/2010|2010-10-21,2010.80274
A/Peru/PER259/2010|2010-10-15,2010.78630
A/Peru/PER286/2010|2010-10-28,2010.82192
A/Peru/PER288/2010|2010-10-27,2010.81918
A/Peru/PER292/2010|2010-11-20,2010.88493
A/Peru/PER294/2010|2010-10-20,2010.80000
